movieId,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,posterUrl
tt0099810,The Hunt for Red October,The Hunt for Red October,1990,135,Action_Adventure_Thriller,https://image.tmdb.org/t/p/w185/4sVVRZ343Y9udgmN0QZBj5QVTin.jpg
tt0099818,I Hired a Contract Killer,I Hired a Contract Killer,1990,79,Comedy_Drama_Romance,https://image.tmdb.org/t/p/w185/p343X7QppeByj9Sz6i003jNkens.jpg
tt0099845,Innisfree,Innisfree,1990,110,Documentary,https://image.tmdb.org/t/p/w185/43VpAaJJs5f9W9Avjs0S1IwSgm4.jpg
tt0099871,Jacob's Ladder,Jacob's Ladder,1990,113,Drama_Horror_Mystery,https://image.tmdb.org/t/p/w185/wTHHuGAlSRNStTHEeObYT82qRsN.jpg
tt0099902,Ju Dou,Ju Dou,1990,95,Drama_Romance,https://image.tmdb.org/t/p/w185/ejvX1lukPZZ10jatUWmKaXbhjGI.jpg
tt0099927,Song of the Exile,Ke tu qiu hen,1990,100,Drama,https://image.tmdb.org/t/p/w185/aKXsbhdVGrqDTtw5wD5Wln3ukoI.jpg
tt0099948,Kojak: None So Blind,Kojak: None So Blind,1990,91,Drama,https://image.tmdb.org/t/p/w185/yAAZxl3jzrNegj0it70ra4DK4Ui.jpg
tt0099949,Korczak,Korczak,1990,118,Biography_Drama_War,https://image.tmdb.org/t/p/w185/70CcvVufPkPSlT1GxB2wGZ2lGVs.jpg
tt0099996,Legacy,Legacy,1993,53,Drama_History_Western,https://image.tmdb.org/t/p/w185/uPuyyjYS2fv3nZuaMMdCq251gzt.jpg
tt0100002,Lekin...,Lekin...,1990,171,Drama_Fantasy_Musical,https://image.tmdb.org/t/p/w185/asvfTyox0vFSA3wYQ6me7KSBIgO.jpg
tt0100024,Life Is Sweet,Life Is Sweet,1990,103,Comedy_Drama,https://image.tmdb.org/t/p/w185/zdkKNQzzwyciP9vAohAPFZdujlA.jpg
tt0100046,The Long Walk Home,The Long Walk Home,1990,97,Drama_History,https://image.tmdb.org/t/p/w185/7T2oVjLHHIDY6FQH9e04oOgPWQa.jpg
tt0100063,The Love She Sought,The Love She Sought,1990,100,Drama,Unknown
tt0100112,The Hairdresser's Husband,Le mari de la coiffeuse,1990,82,Comedy_Drama_Romance,https://image.tmdb.org/t/p/w185/uacdqiwlwEpqc5EwCEtiHbiwBAR.jpg
tt0100142,Metropolitan,Metropolitan,1990,98,Comedy_Drama_Romance,https://image.tmdb.org/t/p/w185/852ZwTRj9tRxkGOT0Pu0Ep8yimk.jpg
tt0100150,Miller's Crossing,Miller's Crossing,1990,115,Crime_Drama_Thriller,https://image.tmdb.org/t/p/w185/ab3pnsTKp3BgcAFy0FgWBFBg9FL.jpg
tt0100151,Mindwalk,Mindwalk,1990,112,Drama,https://image.tmdb.org/t/p/w185/6iLaHjCR4mT29BWj9qHy2hPdWW9.jpg
tt0100157,Misery,Misery,1990,107,Drama_Thriller,https://image.tmdb.org/t/p/w185/klPO5oh1LOxiPpdDXZo1ADgpKcw.jpg
tt0100192,Mother Goose Rock 'n' Rhyme,Mother Goose Rock 'n' Rhyme,1990,96,Adventure_Family_Fantasy,https://image.tmdb.org/t/p/w185/oT7vfyMWZlU7ctwz821THQClawr.jpg
tt0100196,Mountains of the Moon,Mountains of the Moon,1990,136,Adventure_Drama_History,https://image.tmdb.org/t/p/w185/41Un3NfKsCm2p28RtsVCD83bqL2.jpg
tt0100234,Close-Up,Nema-ye Nazdik,1990,98,Biography_Crime_Drama,https://image.tmdb.org/t/p/w185/6xXZjKZA2kwMm0CEqfylqvLD21q.jpg
tt0100246,Red Hot and Blue,Red Hot and Blue,1990,88,Music,https://image.tmdb.org/t/p/w185/mCTf3myRuYxXApqnViG8MJUmiUi.jpg
tt0100263,Nikita,Nikita,1990,117,Action_Thriller,https://image.tmdb.org/t/p/w185/1ulQDewUG4KKHOhpXdGKm3GdLFq.jpg
tt0100269,"'Non', ou A Vã Glória de Mandar","'Non', ou A Vã Glória de Mandar",1990,110,Drama_History_War,https://image.tmdb.org/t/p/w185/6HgSyij9b6WkSzpCLBNkuKOaxY.jpg
tt0100272,"Not a Penny More, Not a Penny Less","Not a Penny More, Not a Penny Less",1990,120,Drama,Unknown
tt0100332,Paris Is Burning,Paris Is Burning,1990,71,Documentary,https://image.tmdb.org/t/p/w185/90rCWH41mj9hjHUEy2SOHfuAOl3.jpg
tt0100334,Le party,Le party,1990,103,Drama,https://image.tmdb.org/t/p/w185/wotXcRouGGnllmCRTPh3jnkGnRv.jpg
tt0100337,Pasport,Pasport,1990,103,Adventure_Comedy_Drama,https://image.tmdb.org/t/p/w185/vnsf5P3oqaWaAAfHq0EXAZLIFua.jpg
tt0100349,Perry Mason: The Case of the Defiant Daughter,Perry Mason: The Case of the Defiant Daughter,1990,100,Crime_Drama_Mystery,https://image.tmdb.org/t/p/w185/fw4QcKtdo7z6zyIy1r64l32Eoos.jpg
tt0100350,Perry Mason: The Case of the Desperate Deception,Perry Mason: The Case of the Desperate Deception,1990,90,Crime_Drama,https://image.tmdb.org/t/p/w185/fw4QcKtdo7z6zyIy1r64l32Eoos.jpg
tt0100351,Perry Mason: The Case of the Poisoned Pen,Perry Mason: The Case of the Poisoned Pen,1990,95,Crime_Drama_Mystery,https://image.tmdb.org/t/p/w185/gUqFWI8k7yvFgtRwI6gMJ01qlvI.jpg
tt0100352,Perry Mason: The Case of the Silenced Singer,Perry Mason: The Case of the Silenced Singer,1990,90,Crime_Drama_Mystery,https://image.tmdb.org/t/p/w185/fw4QcKtdo7z6zyIy1r64l32Eoos.jpg
tt0100354,The Master Carpenter,Perumthachan,1992,140,Drama_History,https://image.tmdb.org/t/p/w185/1zGS9xybNN81Ys2QOsmtvf2yraU.jpg
tt0100356,Peter in Magicland,Peterchens Mondfahrt,1990,80,Animation_Family_Fantasy,https://image.tmdb.org/t/p/w185/yCo13Hv872ehD6tDivQoxCEoJNo.jpg
tt0100385,Polly: Comin' Home!,Polly: Comin' Home!,1990,100,Family_Musical,https://image.tmdb.org/t/p/w185/2OuXQzv4bLD0ponGDcaAYNFfQWx.jpg
tt0100389,Open Doors,Porte aperte,1990,108,Crime_Drama,https://image.tmdb.org/t/p/w185/mIxnUTShKoiW0tELW1uNKfLSOyd.jpg
tt0100436,Pump Up the Volume,Pump Up the Volume,1990,102,Comedy_Drama_Music,https://image.tmdb.org/t/p/w185/s1SyKrARJG2R7FyS4zkNdaekLAW.jpg
tt0100465,Rebro Adama,Rebro Adama,1991,79,Comedy_Drama,https://image.tmdb.org/t/p/w185/nb0ZbmYR2mnut9wd8OHgmULPczC.jpg
tt0100470,Journey of Hope,Reise der Hoffnung,1990,105,Drama,https://image.tmdb.org/t/p/w185/hcma7BRSOcCU7Hyl3KA5S7e3vcF.jpg
tt0100486,Reversal of Fortune,Reversal of Fortune,1990,111,Biography_Drama_Mystery,https://image.tmdb.org/t/p/w185/5Ws7t7uKaPDOKBJYVW1kuyvAna7.jpg
tt0100501,The Road to God Knows Where,The Road to God Knows Where,1990,90,Documentary,https://image.tmdb.org/t/p/w185/2xfEl5w2RR8saGduMHHXdEoeqFY.jpg
tt0100519,Rosencrantz & Guildenstern Are Dead,Rosencrantz & Guildenstern Are Dead,1990,117,Comedy_Drama,https://image.tmdb.org/t/p/w185/6RI9sYpRxIdqlmsF6kBOiF7Bxug.jpg
tt0100557,The Nasty Girl,Das schreckliche Mädchen,1990,94,Comedy_Drama_History,https://image.tmdb.org/t/p/w185/hjp9TqRFYpeCCML7roudrMjVGOY.jpg
tt0100563,The Second Circle,Krug vtoroy,1990,92,Drama,https://image.tmdb.org/t/p/w185/pS5awrqa7lxsRpSEHd7Y8Hz4uhX.jpg
tt0100587,Branches of the Tree,Shakha Proshakha,1990,130,Drama,https://image.tmdb.org/t/p/w185/me5vH5pCn1nT66dDMu80ke0QVST.jpg
tt0100624,Sink or Swim,Sink or Swim,1990,48,Documentary,https://image.tmdb.org/t/p/w185/vTjfdtmPp98440GMoKKeOYXj4ix.jpg
tt0100681,Everybody's Fine,Stanno tutti bene,1990,118,Drama,https://image.tmdb.org/t/p/w185/sIm6MBvSQ9HGVNkB5zxwIpcIxxR.jpg
tt0100685,State of Grace,State of Grace,1990,134,Action_Crime_Drama,https://image.tmdb.org/t/p/w185/542ngEhaYPj1N07JvUoyCwN05ux.jpg
tt0100692,Step Across the Border,Step Across the Border,1990,90,Documentary_Music,https://image.tmdb.org/t/p/w185/4cnU5ZCqnAf2p5C9lCRMAwPZNhj.jpg
tt0100732,Twilight,Szürkület,1990,105,Crime_Drama_Mystery,https://image.tmdb.org/t/p/w185/3DMprtoN5UtqJgUsUVW91QdzMjf.jpg
tt0100747,Auntie Danielle,Tatie Danielle,1990,112,Comedy_Drama,https://image.tmdb.org/t/p/w185/alkb6I4mUp0v2oFNs5ptfRE2PBu.jpg
tt0100757,Taxi Blues,Taksi-blyuz,1990,110,Comedy_Drama,https://image.tmdb.org/t/p/w185/dR6r6dtTovSoR6clvMb6gVuxW25.jpg
tt0100777,A Moment of Romance,Tin joek yau ching,1990,87,Action_Crime_Romance,https://image.tmdb.org/t/p/w185/nVaLkzkhE2hOqHyvilzOa85al2v.jpg
tt0100780,Tichá bolest,Tichá bolest,1991,95,Drama,https://image.tmdb.org/t/p/w185/cLHpOPkDgktQy8Orc3pLTl5x0aH.jpg
tt0100791,To Sleep with Anger,To Sleep with Anger,1990,102,Drama,https://image.tmdb.org/t/p/w185/ox3JyFRYM8crjoJpY8qySeEoPyl.jpg
tt0100802,Total Recall,Total Recall,1990,113,Action_Sci-Fi_Thriller,https://image.tmdb.org/t/p/w185/ykyxKtHv0i8fOGLfBHTdABwkC3W.jpg
tt0100813,Treasure Island,Treasure Island,1990,132,Action_Adventure_Crime,https://image.tmdb.org/t/p/w185/mIj8UjP9qYxQd1pLeudjmrV3PFv.jpg
tt0100814,Tremors,Tremors,1990,96,Comedy_Horror,https://image.tmdb.org/t/p/w185/cA4ggkZ3r1d5r9hOAUWC8x5ul2i.jpg
tt0100851,Uranus,Uranus,1990,100,Comedy_Drama,https://image.tmdb.org/t/p/w185/g18EepYwT2KJrDaeeadrgb0lPSF.jpg
tt0100872,Louvre City,La ville Louvre,1990,84,Documentary,https://image.tmdb.org/t/p/w185/8GCVKyaMrE7bLF2nIEpPDNEjK6V.jpg
tt0100923,Where Pigeons Go to Die,Where Pigeons Go to Die,1990,100,Drama,Unknown
tt0100935,Wild at Heart,Wild at Heart,1990,125,Comedy_Crime_Drama,https://image.tmdb.org/t/p/w185/4lsYDKSQahFauU2AexvoRJ8vVn1.jpg
tt0100950,The Wonderful Wizard of Oz: 50 Years of Magic,The Wonderful Wizard of Oz: 50 Years of Magic,1990,52,Documentary,https://image.tmdb.org/t/p/w185/sRbxxXrhcUYeDoT4DAxF8mMCjTF.jpg
tt0100987,A Home Too Far,Yi yu,1990,100,War,https://image.tmdb.org/t/p/w185/r6VL2RGXxdY5wvmclfKqI0FOT3g.jpg
